scaffold,L,N,compliance_rate,compliance_ci_low,compliance_ci_high,acc_strict,acc_strict_ci_low,acc_strict_ci_high
semantic,6,2865,0.9148342059336824,0.9040493646466807,0.9245080572758124,0.6715532286212914,0.654135942727708,0.6885110685258933
semantic,11,2865,0.9130890052356021,0.9022124874430246,0.9228592069997776,0.649912739965096,0.6322558967274758,0.6671680937779603
semantic,16,2865,0.9172774869109948,0.9066231411043071,0.926814299289753,0.6523560209424084,0.6347242176313318,0.6695797913456715
semantic,21,2865,0.9179755671902269,0.9073589783941257,0.9274727529918106,0.6551483420593368,0.6375457741811132,0.6723353987633951
