scaffold,L,N,compliance_rate,compliance_ci_low,compliance_ci_high,acc_strict,acc_strict_ci_low,acc_strict_ci_high
misleading,6,999,0.8078078078078078,0.7822130033553653,0.8310443645081139,0.5265265265265265,0.4955219422100451,0.5573278797359132
misleading,11,999,0.8068068068068068,0.7811678055811345,0.8300952293787235,0.5255255255255256,0.4945215588956175,0.5563339301467198
misleading,16,999,0.8028028028028028,0.7769895011168351,0.8262962022285387,0.5065065065065065,0.475537808578016,0.537425355295521
misleading,21,999,0.7787787787787788,0.7519988918968523,0.8034228217616157,0.5055055055055055,0.4745399007225067,0.5364289302474093
