scaffold,L,N,compliance_rate,compliance_ci_low,compliance_ci_high,acc_strict,acc_strict_ci_low,acc_strict_ci_high
misleading,6,999,0.5625625625625625,0.5316187928385087,0.5930270136378081,0.2862862862862863,0.2591159191652769,0.3150940059116245
misleading,11,999,0.6636636636636637,0.6337884159670817,0.6922850137749634,0.4084084084084084,0.3783345129054035,0.43918402641326854
misleading,16,999,0.6966966966966966,0.667482047841215,0.7244043677203252,0.43543543543543545,0.40499447326154503,0.4663710544548959
misleading,21,999,0.7047047047047047,0.6756756947782151,0.7321653840122938,0.45845845845845845,0.42777779132838917,0.48945739317133624
