scaffold,L,N,compliance_rate,compliance_ci_low,compliance_ci_high,acc_strict,acc_strict_ci_low,acc_strict_ci_high
underspecified,6,999,0.2962962962962963,0.26880417915342253,0.3253490749596895,0.12812812812812813,0.10881710301198264,0.1502882232927897
underspecified,11,999,0.2862862862862863,0.2591159191652769,0.3150940059116245,0.11311311311311312,0.0949358640119615,0.13425446873849478
underspecified,16,999,0.25425425425425424,0.22822853981235647,0.2821627323486706,0.0920920920920921,0.0756899258137795,0.11161941596063431
underspecified,21,999,0.20520520520520522,0.18131349659763396,0.23135546328596085,0.06906906906906907,0.05493901920307766,0.08650066578805153
