scaffold,L,N,compliance_rate,compliance_ci_low,compliance_ci_high,acc_strict,acc_strict_ci_low,acc_strict_ci_high
underspecified,6,1002,0.9161676646706587,0.8973774760928369,0.9317789238810755,0.564870259481038,0.5339824693760774,0.5952625330179379
underspecified,11,1002,0.9241516966067864,0.9060897607595756,0.9389737164320616,0.624750499001996,0.594347281509624,0.654200800017328
underspecified,16,1002,0.9261477045908184,0.9082757002740091,0.9407645462220596,0.6227544910179641,0.5923275098765579,0.6522438023459631
underspecified,21,1002,0.9281437125748503,0.9104650168799447,0.942551998920555,0.6317365269461078,0.6014207461572559,0.6610460279352056
