scaffold,L,N,compliance_rate,compliance_ci_low,compliance_ci_high,acc_strict,acc_strict_ci_low,acc_strict_ci_high
semantic,6,999,0.5775775775775776,0.5467073291942209,0.607853470836412,0.2992992992992993,0.2717138389899101,0.32842241383406523
semantic,11,999,0.46646646646646645,0.4357179497385935,0.49747189799010044,0.2222222222222222,0.197533035871795,0.24903958337335796
semantic,16,999,0.4364364364364364,0.4059836665101196,0.4673761941099423,0.1991991991991992,0.17560478334403942,0.22509817911782895
semantic,21,999,0.4094094094094094,0.37932024492385297,0.44019262729844,0.18018018018018017,0.1575860814417668,0.2052245558513012
