scaffold,L,N,compliance_rate,compliance_ci_low,compliance_ci_high,acc_strict,acc_strict_ci_low,acc_strict_ci_high
meta,6,999,0.1961961961961962,0.17275367087119867,0.22196629287980643,0.012012012012012012,0.006884476530056003,0.02087823295467219
meta,11,999,0.13513513513513514,0.11532756780432239,0.15773808882579743,0.002002002002002002,0.0005491814556410311,0.007270198992876462
meta,16,999,0.07707707707707707,0.06211021531369654,0.0952841329064012,0.003003003003003003,0.001021787707358042,0.008791925644780521
meta,21,999,0.04004004004004004,0.029540485935507343,0.05406354485061082,0.001001001001001001,0.00017671856946884033,0.005648328975427582
