scaffold,L,N,compliance_rate,compliance_ci_low,compliance_ci_high,acc_strict,acc_strict_ci_low,acc_strict_ci_high
memory,6,999,0.8988988988988988,0.878650011942758,0.9160916501502383,0.5225225225225225,0.4915211530521795,0.5533513372792946
memory,11,999,0.9179179179179179,0.899252800883622,0.9333811863781747,0.5675675675675675,0.5366451251266591,0.597972345867763
memory,16,999,0.9019019019019019,0.8818882343003707,0.918836426503489,0.5675675675675675,0.5366451251266591,0.597972345867763
memory,21,999,0.8988988988988988,0.878650011942758,0.9160916501502383,0.5685685685685685,0.53765077219952,0.5989610316985233
